Study Area,Degree,University,City,Degree Duration,Fee,Contact Number,Email,URL,Address
Medical Sciences,Operation Theatre Technician,Sheikh Zayed Medical College/hospital,Rahim Yar Khan,"B.Sc. , 2 Years",0,068-9230168,info@szmc.edu.pk,https://szmc.edu.pk/,"Sheikh Zayed Medical College/Hospital,
Rahim Yar Khan,
Punjab, Pakistan."
Medical Sciences,Operation Theatre Technician,Advance Life College Of Medical Sciences,Lahore,"BS , 4 Years",0,92-42-35413712,info@alife.pk,https://www.ilmkidunya.com/colleges/advance-life-college-of-medical-sciences.aspx,144-Ahbab colony12-Multan Road Near PSO Petrol Pump Hanjarwal Lahore
Medical Sciences,Operation Theatre Technician,Amna Inayat Medical College,Sheikhupura,"BS , 4 Years",0,3007881634,info@aimec.edu.pk,https://aimec.edu.pk/,"Faizpur Interchange, M2 Motorway, (3.5 KM from Ravi Toll Plaza), Lahore"
Medical Sciences,Operation Theatre Technician,Gulab Devi Chest Hospital,Lahore,"B.Sc. , 4 Years",0,92-42-99230247-50,gulabdevi1934@gmail.com,https://www.gulabdevi.org/,Gulab Devi Chest Hospital Ferozpur Road Lahore
Medical Sciences,Operation Theatre Technician, The Childrens Hospital & The Institute Of Child Health,Lahore,"B.Sc. [Hons] , 4 Years",0,042 99230901,not mentioned,"https://oladoc.com/pakistan/lahore/h/child-hosp-lhr/237#:~:text=Ferozepur%20Road%2C%20Lahore%2C%20Punjab%2C%20Pakistan%20042%2099230901,Call%20Mon%20-%20Sun%2C%209am%20to%2011pm","Ferozepur Road, Lahore, Punjab, Pakistan"
Medical Sciences,Operation Theatre Technician, Gulab Devi Post Graduate Medical Institute,Lahore,"B.Sc. [Hons] , 4 Years",0,92-42-99230247-50,gulabdevi1934@gmail.com,https://www.gulabdevi.org/,Gulab Devi Chest Hospital Ferozpur Road Lahore
Medical Sciences,Operation Theatre Technician,Shalamar School Of Allied Health Sciences,Lahore,"B.Sc. [Hons] , 4 Years",0,+92 111 205 205 ext: 428,info@ssahs.edu.pk,https://ssahs.edu.pk/contact/,"Shalamar Link Road,Lahore, Pakistan"
Medical Sciences,Ophthalmic Technician,Dow University Of Health Sciences,Karachi,"BS , 4 Years",100000,922199215754-57,info@duhs.edu.pk ,https://duhs.edu.pk/,"Dow University of Health Sciences Baba-e-Urdu Road, Karachi - 74200, Pakistan."
Medical Sciences,Ophthalmology,College Of Ophthalmology & Allied Vision Sciences,Lahore,"B.Sc. , 4 Years",0,92 (42) 99214821,info@coavs.edu.pk,https://coavs.edu.pk/contact/," Mayo Hospital Lahore, Pakistan."
Medical Sciences,Ophthalmology,Pir Abdul Qadir Shah Jeelani Institute Of Medical Sciences,Gambat,"BS , 4 Years",0,(0243)-640160,info@gims.edu.pk,http://www.gims.edu.pk/,"PAQSJ Institute of Medical Sciences, Gambat Station Rd, Pakistan"
Medical Sciences,Optometry & Orthoptics,Nishtar Medical College / Nishter Hospital,Multan,"BS , 4 Years",0,+92 61 9200232,info@nmch.edu.pk ,http://nmch.edu.pk/,"Nishtar Medical College / Nishter Hospital Nishtar Rd, Nishtar Chowk, Multan, Punjab, Pakistan"
Medical Sciences,Optometry & Orthoptics,Rawalpindi Medical University,Rawalpindi,"B.Sc. [Hons] , 4 Years",0,+92 (51) 9290527,info@rmur.edu.pk ,http://www.rmur.edu.pk/,"Tipu Road, Rawalpindi, Pakistan"
Medical Sciences,Optometry & Orthoptics,Riphah International University,Islamabad,"BS , 4 Years",0,3225757396,masood.minhas@riphah.edu.pk,https://riphah.edu.pk/,"7th Avenue, Sector G-7/4, Islamabad."
Medical Sciences,Optometry & Orthoptics,Riphah International University Lahore,Lahore,"BS , 4 Years",0, 0300 0720825,admissions.lahore@riphah.edu.pk,https://riphah.edu.pk/home-lahore/,"25 Raza Saeed Rd, Bhabra Block M Gulberg III, Lahore, Punjab"
Medical Sciences,Optometry & Orthoptics, Advance Life College Of Medical Sciences,Lahore,"BS , 4 Years",0,92-42-35413712,info@alife.pk,http://alife.pk/,144-Ahbab colony12-Multan Road Near PSO Petrol Pump Hanjarwal Lahore
Medical Sciences,Optometry & Orthoptics,Gulab Devi Educational Complex,Lahore,"BS , 4 Years",0,+92 (423) 591 8040,info@gdec.edu.pk,https://gdec.edu.pk/,"Ferozepur Road,Opposite Arfa Kareem Tower,Lahore, Punjab Pakistan"
Medical Sciences,Optometry & Orthoptics,Bakhtawar Amin Medical And Dental College,Multan,"BS , 4 Years",0,+92 (061) 6741201-9,info@bamdc.edu.pk,https://bamdc.edu.pk/contact-us/,"Northern Bypass, Multan -Pakistan"
Medical Sciences,Optometry & Orthoptics," Pakistan Institute Of Opthamology,al-shifa Trust Eye Hopital",Rawalpindi,"B.Sc. [Hons] , 4 Years",0,+92 51 5487821-5,not mentioned,https://alshifaeye.org/,"Al-Shifa Trust Eye Hospital, Jhelum Road, Rawalpindi."
Medical Sciences,Optometry & Orthoptics,Shalamar School Of Allied Health Sciences,Lahore,"B.Sc. [Hons] , 4 Years",0,+92 111 205 205 ext: 428,info@ssahs.edu.pk,https://ssahs.edu.pk/contact/,"Shalamar Link Road,Lahore, Pakistan"
Medical Sciences,Optometry & Orthoptics, Al-shifa Trust Eye Hospital [jhelum Road],Rawalpindi,"B.Sc. [Hons] , 4 Years",0,+92 51 5487821-5,not mentioned,https://alshifaeye.org/,"Al-Shifa Trust Eye Hospital, Jhelum Road, Rawalpindi."
Medical Sciences,Orthoptics,King Edward Medical University / Mayo Hospital,Lahore,"B.Sc. [Hons] , 4 Years",54000,+92 42 9921145-54,info@kemu.edu.pk,http://www.kemu.edu.pk/,"Nelagumbad, Anarkali, Lahore, Punjab, Pakistan"
Medical Sciences,Paediatric, Pir Abdul Qadir Shah Jeelani Institute Of Medical Sciences,Gambat,"BS , 4 Years",0,(0243)-640160,info@gims.edu.pk,www.gims.edu.pk,"PAQSJ Institute of Medical Sciences, Gambat Station Rd, Pakistan"
Medical Sciences,Paediatric Medicine,Zia-ud-din Medical University,Karachi,"LLD , 5 Years",0,(9221)35862937,info@zu.edu.pk,https://zmc.zu.edu.pk/ ,"Clifton Site:4/B, Shahrah-e-Ghalib, Block 6, Clifton Karachi."
Medical Sciences,Paramedics,Khyber Medical University,Peshawar,"BS , 4 Years",0,091 - 9217703,webmaster@kmu.edu.pk,https://kmu.edu.pk/ ,"PDA Building, Block IV, Phase 5, Hayatabad, Peshawar, Khyber Pakhtunkhwa, Pakistan"
Medical Sciences,Pathology,University Of Sargodha,Sargodha,"BS , 4 Years",0,048 111 867 111,info@uos.edu.pk,https://su.edu.pk/,"University Road
Sargodha
Punjab, Pakistan
40100"
Medical Sciences,Pathology,Ghazali Institute Of Medical Sciences,Peshawar,"BS , 4 Years",0,091-5841972,gims.medical22@gmail.com,https://www.gims.pk/,"Abdara Chowk,University Road,Peshawar"
Medical Sciences,Pathology,Hefa Foundation,Peshawar,"BS , 4 Years",0,091-5520453,not mentioned,https://www.facebook.com/HEFAfoundation/,"street#2 Arbab Road Stop, Peshawar"
Medical Sciences,Pathology,Pir Abdul Qadir Shah Jeelani Institute Of Medical Sciences,Gambat,"BS , 4 Years",0,(0243)-640160,info@gims.edu.pk,http://www.gims.edu.pk/,"PAQSJ Institute of Medical Sciences, Gambat Station Rd, Pakistan"
Medical Sciences,Perfusion Sciences, Dow University Of Health Sciences,Karachi,"BS , 4 Years",100000,922199215754-57,info@duhs.edu.pk ,https://duhs.edu.pk/,"Dow University of Health Sciences Baba-e-Urdu Road, Karachi - 74200, Pakistan."
Medical Sciences,Physiology,The Islamia University Of Bahawalpur,Bahawal Pur,"BS , 4 Years",39800,+92-062 9255875,ilo@iub.edu.pk ,https://www.iub.edu.pk/index.php ,"Directorate of International Linkages, Bagdad-ul-jadeed Campus,
The Islamia University of Bahawalpur"
Medical Sciences,Physiology,Government College University,Faisalabad,"BS , 4 Years",49000,+92 41 9200886,info@gcuf.edu.pk ,https://gcuf.edu.pk/ ,"Government College University, Allama Iqbal Road, Faisalabad, Pakistan."
Medical Sciences,Physiology,University Of Sindh,Jamshoro,"BS , 4 Years",22000,+92 22 921 3210,info@admin.usindh.edu.pk ,http://www.usindh.edu.pk/ ,"University of Sindh Jamshoro, Sindh, Pakistan"
Medical Sciences,Physiology,University Of Karachi,Karachi,"BS , 4 Years",27600,99261300-06,Vice Chancellor:vc@uok.edu.pk,http://www.uok.edu.pk,"Pakistan Study Centre, MainUniversityRoad, Gulshan-e-Iqbal,Karachi."
Medical Sciences,Physiology, Royal Gorup Of Colleges,Gujranwala,"BS , 4 Years",0,92-55-3250764-65,not mentioned,https://www.ilmkidunya.com/colleges/royal-group-of-colleges-gujranwala.aspx,"Paracha Center Near PACE Main G.T Road, Gujranwala"
Medical Sciences,Physiology,Advance Life College Of Medical Sciences,Lahore,"BS , 4 Years",0,92-42-35413712,info@alife.pk,https://www.ilmkidunya.com/colleges/advance-life-college-of-medical-sciences.aspx,144-Ahbab colony12-Multan Road Near PSO Petrol Pump Hanjarwal Lahore
Medical Sciences,Physiology,Central Park College Of Allied Health Sciences,Lahore,"BS , 4 Years",0,(042) 35935334,cpmc@hotmail.com,https://cpmc.edu.pk/cpcahs/index.php,"Central Park Housing Scheme, 31 km Ferozepur Road, , Lahore, Pakistan"
Medical Sciences,Physiology,Sialkot Medical College,Sialkot,"BS , 4 Years",0,(052) 35242817,hrd@smcs.edu.pk,https://www.facebook.com/sialkotmedicalcollege/,"6-km Daska Road Sialkot, Sialkot, Pakistan"
Medical Sciences,Physiology,Afro-asian Institute,Lahore,"BS , 4 Years",0,+92 332 4717478,info@afroasian.edu.pk,https://afroasian.edu.pk/,"42-53 Dullu Kalan, Khayaban-E-Kareem, 19 KM Ferozpur Road (Near Nishtar Colony), Lahore."
Medical Sciences,Physiology, Gulab Devi Post Graduate Medical Institute,Lahore,"BS , 4 Years",0,92-42-99230247-50,gulabdevi1934@gmail.com,https://www.gulabdevi.org/,Gulab Devi Chest Hospital Ferozpur Road Lahore
Medical Sciences,Psychiatry,No universities found,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned
Medical Sciences,Radiation Oncology,Shifa Tameer-e-millat University,Islamabad,"AD , 3 Years",14000, 92 51 846 4210,info@stmu.edu.pk,https://stmu.edu.pk/admissions/online-admissions/,"Shifa Tameer-e-Millat University
Pitras Bukhari Road, H-8/4
Islamabad-44000, Pakistan"
Medical Sciences,Radiation Therapy Technology,The Superior University,Lahore,"BS , 4 Years",0,042-38103777,not mentioned,https://www.superior.edu.pk/,"MainCampusLahore. 17 KM,MainRaiwind Road,Lahore, Punjab"
Medical Sciences,Radiographer,Hussain College Of Health Sciences,Lahore,"BS , 4 Years",0,0302-4892898,hussaincollege.hchs@gmail.com,https://www.facebook.com/hussaincollege/,"105- Multan Road, Hussain Memeroial Hospital, Lahore"
Medical Sciences,Radiographer,Amna Inayat Medical College,Sheikhupura,"BS , 4 Years",0,3007881634,info@aimec.edu.pk,https://aimec.edu.pk/,"Faizpur Interchange, M2 Motorway, (3.5 KM from Ravi Toll Plaza), Lahore"
Medical Sciences,Radiographer,Faisal Institute Of Health Sciences,Faisalabad,"BS , 4 Years",0,0304 2472220,fihs.pk@gmail.com,https://fihsfsd.edu.pk/contact.php,"Main Bakar Mandi Road - Near ABC Bridge - Faisalabad , Faisalabad, Pakistan"
Medical Sciences,Radiographer,Multan Institute Of Health Sciences,Multan,"BS (HONS) , 4 Years",0,(061) 6222062,info@mihs.edu.pk,https://mihs.edu.pk/,"Near DHA office , Multan Public School Road ,Multan, Punjab"
Medical Sciences,Radiographic & Imaging Technology,Faisalabad Medical University,Faisalabad,"BS , 4 Years",0,+92 41 9210080,vcfmuf@gmail.com,https://www.pmc.edu.pk/,"Sargodha Road, Faisalabad, Punjab, Pakistan."
Medical Sciences,Radiographic & Imaging Technology,Government College University,Faisalabad,"BS , 4 Years",61000,+92 41 9200886,info@gcuf.edu.pk ,https://gcuf.edu.pk/ ,"Government College University, Allama Iqbal Road, Faisalabad, Pakistan."
Medical Sciences,Radiographic & Imaging Technology,The University Of Chenab,Gujrat,"BS , 4 Years",0,+92533 111 243 622,info@uchenab.edu.pk ,https://uchenab.edu.pk/ ,"Adjacent Chenab Bridge GT Road Gujrat, Pakistan"
Medical Sciences,Radiographic & Imaging Technology, Ibadat International University Islamabad,Islamabad,"BS , 4 Years",0,+92 51 111 448 448,Admission@iiui.edu.pk,"https://admissions.iiui.edu.pk/#:~:text=Email,Us%3A%20admission%40iiui.edu.pk","Pakistan IBADAT International University Islamabad 6.7kmJapan Road, Sihala, Islamabad, Pakistan"
Medical Sciences,Radiographic & Imaging Technology,Lahore University Of Biological & Applied Sciences,Lahore,"BS , 4 Years",0,92 3324560460,info@lahoreubas.kinsta.cloud,www.ubas.edu.pk,"North Canal Bank, Tulspura, Lahore, Punjab"
Medical Sciences,Radiographic & Imaging Technology,Sutlej College Of Allied Health Sciences,Bahawal Pur,"BS , 4 Years",0,0313 6669787,sutlejcollege@gmail.com,https://l.facebook.com/l.php?u=http%3A%2F%2Fwww.scahs.edu.pk%2F&h=AT3YbOF3s-o3YtFlDynrigvT4Xf7Yrgph95yQ166aImSXKDO8VLAnhTG9tlJD6NikB_z0kDcwV5HvJ5FXuEplbB_b0nPRlAPD6TYrkmvlj6RdRqL_mNKsm1914Ol1hKghJU7ci1HkYo2lUJZPCPTkx-JaoiNnZYQMAxN9w,"Near Khuram Petroleum, Hasilpur Road (University Road) , Bahawalpur, Bahawalpur, Pakistan"
Medical Sciences,Radiographic & Imaging Technology,Aziz Fatimah Medical And Dental College,Faisalabad,"BS , 4 Years",0,041-8752931-5,info@afmdc.edu.pk,https://afmdc.edu.pk/,"WestCanalRoadFaisal Town Faisalabad
Pakistan"
Medical Sciences,Radiographic & Imaging Technology,Royal Gorup Of Colleges,Gujranwala,"BS (HONS) , 4 Years",0,92-55-3250764-65,not mentioned,https://www.ilmkidunya.com/colleges/royal-group-of-colleges-gujranwala.aspx,"Paracha Center Near PACE Main G.T Road, Gujranwala"
Medical Sciences,Radiographic & Imaging Technology,"Pakistan Institute Of Professional Sciences, Bhara Kahu",Islamabad,"BS , 4 Years",0,3214717348,not mentioned,https://www.eduvision.edu.pk/pakistan-institute-of-professional-sciences-bhara-kahu-pifs-islamabad-ins-1567689285#google_vignette,"SIRI CHOWK , BHARA KAHU"
Medical Sciences,Radiographic & Imaging Technology, A C E Institute Of Medical And Emerging Sciences,Lahore,"BS , 4 Years",0,+92 042-35947917,info@aceinst.edu.pk,https://aceinst.edu.pk/contact.html,"4-A Block, New Mulsim Town Lahore Pakistan."
Medical Sciences,Radiographic & Imaging Technology,Central Park College Of Allied Health Sciences,Lahore,"BS , 4 Years",0,(042) 35935334,cpmc@hotmail.com,https://cpmc.edu.pk/cpcahs/index.php,"Central Park Housing Scheme, 31 km Ferozepur Road, , Lahore, Pakistan"
Medical Sciences,Radiographic & Imaging Technology,Dr Yahya Institute Of Medical Sciences,Layyah,"BS , 4 Years",0,0330 3946700,info@dyims.edu.pk,https://www.facebook.com/Official.Dyims/,"1-km off Layyah-Chowk Azam Road, opp Rivaj Hotel, Layyah"
Medical Sciences,Radiographic & Imaging Technology, Sahara College Of Pharmacy & Allied Health Sciences,Narowal,"BS , 4 Years",0,(0542) 2413211,ssiahsnarowal@gmail.com,https://www.facebook.com/ssiahsnarowal/,"Narowal, Pakistan"
Medical Sciences,Radiographic & Imaging Technology," Riphah International College, Peshawar",Peshawar,"AD , 2 Years",0,92-51-4922161-5,owais.abid@riphah.edu.pk,https://riphah.edu.pk/contact-info/,"WestridgeCampus: Potohar Plaza, mainPeshawarRoad"
Medical Sciences,Radiographic & Imaging Technology,Center Of Advanced Studies In Health & Technology,Rawalpindi,"BS , 4 Years",0,(+92) 51-8747555,info@casht.edu.pk,https://casht.edu.pk/,"B-Block-85, Satellite Town, Rawalpindi-Pakistan"
Medical Sciences,Radiographic & Imaging Technology, Health Services Academy,Islamabad,"BS , 4 Years",0,92 51 9255590-94,academy@hsa.edu.pk,https://www.hec.gov.pk/english/universities/Pages/Islamabad/Health-Services-Academy.aspx,"Opposite National Institute of Health (NIH), Islamabad"
Medical Sciences,Radiographic & Imaging Technology,Afro-asian Institute,Lahore,"BS , 4 Years",0,+92 332 4717478,info@afroasian.edu.pk,https://afroasian.edu.pk/,"42-53 Dullu Kalan, Khayaban-E-Kareem, 19 KM Ferozpur Road (Near Nishtar Colony), Lahore."
Medical Sciences,Radiographic & Imaging Technology,Federal Institute Of Health Sciences,Lahore,"BS , 4 Years",0,042-37498545,federal.institute@yahoo.com,https://fihs.edu.pk/contact-us-2/,"Campus: 160 & 161, Westwood Colony, Raiwand Road, Thokar,Lahore"
Medical Sciences,Radiographic & Imaging Technology,Nasjon Institute Of Health Sciences,Lahore,"BS , 4 Years",0,92-42-35880533,info@nihsl.edu.pk,www.nihsl.edu.pk/,"Building No. 9-A, Shershah Block, New Garden Town, Lahore."
Medical Sciences,Radiographic & Imaging Technology,Punjab Institute Of Professional Studies,Lahore,"BS , 4 Years",0,0322 0737137,Pipslhr123@gmail.com,https://www.facebook.com/pipslhr1/,"By Citi Hospital, Defence Road, Near Bahria Town,Lahore"
Medical Sciences,Radiologic Technology,Liaquat University Of Medical And Health Sciences,Jamshoro,"BS , 4 Years",0,+92 22 9213305,info@lumhs.edu.pk ,https://www.lumhs.edu.pk,"Liaquat University of Medical and Health Sciences, Deh Soun Valhar, Jamshoro, Sindh, Pakistan."
Medical Sciences,Radiologic Technology,Liaquat University Of Medical And Health Sciences,Jamshoro,"AD , 2 Years",0,+92 22 9213305,info@lumhs.edu.pk ,https://www.lumhs.edu.pk,"Liaquat University of Medical and Health Sciences, Deh Soun Valhar, Jamshoro, Sindh, Pakistan."
Medical Sciences,Radiologic Technology,Dow University Of Health Sciences,Karachi,"BS , 4 Years",100000,922199215754-57,info@duhs.edu.pk ,https://duhs.edu.pk/,"Dow University of Health Sciences Baba-e-Urdu Road, Karachi - 74200, Pakistan."
Medical Sciences,Radiologic Technology, The University Of Modern Sciences,Tando Muhammad Khan,"BS , 4 Years",0,+92 22 3409562-67,Info@ums.edu.pk,"https://www.hec.gov.pk/english/universities/Pages/Sindh/University-of-Modern-Sciences,-Tando-Muhammad-Khan.aspx#:~:text=Tando%20Muhammad%20Khan%2C%20Sindh-Pakistan%20Tel,%23%20%2B92%2022%203409562-67%20Email%3A%20info%40ums.edu.pk","Tando Muhammad Khan, Sindh-Pakistan"
Medical Sciences,Radiologic Technology,City University Of Science & Information Technology,Peshawar,"B.TECH , 4 Years",160000,+92 91 2609501-8,info@cusit.edu.pk,https://cityuniversity.edu.pk/,"CityUniversityofScienceandInformationTechnologyDalazak RoadPeshawar, Pakistan"
Medical Sciences,Radiologic Technology,Iqra National University,Peshawar,"BS , 4 Years",104000,+ 92 (0946) 883946,info@inuswat.edu.pk,https://www.inuswat.edu.pk/,"Main G.T. Road, Odigram Swat, KP"
Medical Sciences,Radiologic Technology,Abasyn University (sub Campus),Islamabad,"BS , 4 Years",0,3319890066,admissions@abasynisb.edu.pk,https://www.abasynisb.edu.pk/contact.php,"Park Road, Chak Shahzad, Islamabad, Pakistan"
Medical Sciences,Radiologic Technology,"Iqra University, Chak Shahzad Campus",Islamabad,"BS , 4 Years",187200,051 92 47407,admissions@iqrauni.edu.pk,https://www.iqrauni.edu.pk/contact-us,"PIES Complex, No.6 Park Road, Tarlai Kalan,ChakShahzad,Islamabad"
Medical Sciences,Radiologic Technology,"Iqra National Univesity, Swat Campus",Swat,"BS , 4 Years",0,(0946) 883946,info@inuswat.edu.pk,https://www.facebook.com/INUSwat/,"Odigram Main Maingora G.T Road, Swat, Pakistan"
Medical Sciences,Radiologic Technology,Institute Of Health Sciences,Islamabad,"BS , 4 Years",0,+92 310 595 8666,iihs.islamabad@gmail.com,https://iihs.edu.pk/,"54 Greens Avenue, Chatta Bakhtawar, Islamabad 47000"
Medical Sciences,Radiologic Technology,Bacha Khan Medical College,Mardan,"BS , 4 Years",0,+92 937 9230583,info@bkmc.edu.pk ,https://bkmc.edu.pk/ ,"Main Nowshera Road, Near Sheikh Maltoon Town, Mardan, Khyber Pakhtunkhwa, Pakistan"
Medical Sciences,Radiologic Technology,Al- Qassar Institute Of Health Sciences,D.i. Khan,"BS , 4 Years",0,(0966) 851326,alqassarhealth@gmail.com,https://www.facebook.com/AQIHS019/,"Sadiq Awan Foundation Complex,Opposite Bahu Flour Mills,Near Qureshi Morr Bhakkar Road, Dera Ismail Khan, Pakistan"
Medical Sciences,Radiologic Technology,Prime Institute Of Health & Management Sciences,Mardan,"BS , 4 Years",0,0345 5510190,pihms.mardan@gmail.com,https://www.facebook.com/pihmsmardan/,"malakand road mardan, Mardan, Pakistan"
Medical Sciences,Radiologic Technology,Asian Institute Of Medical & Management Sciences,Peshawar,"BS , 4 Years",0,0315 0669671,aimms.health@gmail.com,https://l.facebook.com/l.php?u=http%3A%2F%2Fwww.aimmspsh.edu.pk%2F&h=AT3sO7Vbiyhjq02J2F_IEYuBqMCrH9KhmY7V-VU9Gx6YMb1bQZPATpLMuXm_TjQKbwEm4C8JWRK_kncF7rloiex2v74PnoN_SPU6GSiVhzXL1iao7M8YKA3gIgLaqLLBEMItVyLcAEOwr3mRATZe0JXW89fHFyfObBWfVQ,"Tehkal Payan University Road opp BRT station No18, Peshawar, Pakistan"
Medical Sciences,Radiologic Technology,International College Of Health Sciences,Peshawar,"BS , 4 Years",0,0311 1666310,ichspeshawar@gmail.com,https://l.facebook.com/l.php?u=http%3A%2F%2Fwww.ichs.edu.pk%2F&h=AT39fubI9pXJhtkevE0PDUVur45xzWGCHR-ba4cN5DKmbV2s9PgjN1xg6QAy8y1UIYPbP4zUBLoyCqXuBb9dsD0kUu7hYF-8cPHplrEA71OPxkA_cqI4dTg09yFc9VrW9_2qwLttzveePSJXEVO9DPXyD06XuFiuRUUBUA,"South Canal Road, University Town Peshawar , Peshawar, Pakistan"
Medical Sciences,Radiologic Technology,Pakistan Institute Of Medical And Management Sciences,Peshawar,"BS , 4 Years",0,091-5200096,info@pimmspesh.edu.pk,https://www.pimmspesh.edu.pk/contact/,"Near Babu Ghari Chowk, Warsak Road, Pehsawar"
Medical Sciences,Radiologic Technology,Vertex Institute Of Science & Technology,Abbottabad,"BS , 4 Years",0,92-992-384986,vss-vertex@hotmail.com,www.vertexgroup.edu.pk,"missile Chowk, old Degree, college Road, mandian, Abbottabad"
Medical Sciences,Radiologic Technology,Dr. Ihsanullah Khan Medical Institute,Charsadda,"BS , 4 Years",0,0311 5888369,dr.ihsanullahmedinst@gmail.com,https://ihs.org.pk/,"Hafiz Abad, Opp. The Bank of Khyber, Umarzai Bazar, Tangi Road, Charsadda, Charsadda, Pakistan"
Medical Sciences,Radiologic Technology,Aman Medical Institute,Islamabad,"BS , 4 Years",0,(051) 2217007,amiislamabad1@gmail.com,https://www.facebook.com/amiislamabad/,"Benazir Chowk Main Fateh Jhang Road Tarnol, Islamabad, Pakistan"
Medical Sciences,Radiologic Technology,Bashir Institute Of Health Sciences,Islamabad,"BS , 4 Years",0,+92 (051) 2234217-8,info.bashir.ihs@gmail.com,https://bashir.edu.pk/,"Simly Dam Road,Near Adil CNG P/O Sari Chowk, Bharakahu Islamabad Federal Capital - Pakistan"
Medical Sciences,Radiological Imaging,Jinnah Sindh Medical University,Karachi,"BS , 4 Years",0,+92 21 99205185,info@jsmu.edu.pk ,http://www.jsmu.edu.pk/,"Jinnah Sindh Medical University Rafiqui H.J. Shaheed Road, Karachi, Pakistan"
Medical Sciences,Radiological Imaging,Indus University,Karachi,"BS , 4 Years",134000,111 400 300,info@indus.edu.pk,https://www.indus.edu.pk/,"ST-2D, Block-17,
Gulshan-e-Iqbal Adjacent to National Stadium, Karachi."
Medical Sciences,Radiological Imaging,Zia-ud-din Medical University,Karachi,"BS , 4 Years",96500,(9221)35862937,info@zu.edu.pk,https://zmc.zu.edu.pk/ ,"Clifton Site:4/B, Shahrah-e-Ghalib, Block 6, Clifton Karachi."
Medical Sciences,Radiological Imaging,"Vertex Institute Of Science & Technology, Mirpur Campus",Mir Pur (ajk),"AD , 2 Years",0,0344 8900221,info@vertexgroup.edu.pk,https://l.facebook.com/l.php?u=http%3A%2F%2Fwww.vertexgroup.edu.pk%2F&h=AT25xf7zULTaVHcfAXDOST741zwfVBTSuBgb4rKebGJo0f2w0OhOc9tKvf6Rn13m_E7pBMlxCVGAiqW8_welr4YWDQi5vlV6Wu2ZOfFrkHVvYkgczZtlG0QV2xPeI1t0TicbJ9SU6h9kP_c3ZApWJhYqZYe1LK0W7HOi3g,"2nd Floor, MKT Plaza, Mian Muhammad Road, Mirpur, Pakistan"
Medical Sciences,Radiology,University Of Haripur,Haripur,"BS , 4 Years",0,92995920602,registrar@uoh.edu.pk ,https://www.uoh.edu.pk/#gsc.tab=0 ,"The University of Haripur
Hattar Road Near Swat Chowk Haripur
Khyber Pakhtunkhwa Pakistan"
Medical Sciences,Radiology,"Shaheed Zulfiqar Ali Bhutto Medical University, Pims",Islamabad,"BS , 4 Years",0,92519261170,info@szabmu.edu.pk ,http://www.szabmu.edu.pk/,"Shaheed Zulfiqar Ali Bhutto Medical University (SZABMU), PIMS, G-8/3, Islamabad, Pakistan"
Medical Sciences,Radiology,Khyber Medical University,Peshawar,"B.Sc. , 4 Years",80000,091 - 9217703,webmaster@kmu.edu.pk,https://kmu.edu.pk/ ,"PDA Building, Block IV, Phase 5, Hayatabad, Peshawar, Khyber Pakhtunkhwa, Pakistan"
Medical Sciences,Radiology,Khawaja Fareed University Of Engineering & Information Technology,Rahim Yar Khan,"BS , 4 Years",80000,+92 68 5882400,info@kfueit.edu.pk,https://kfueit.edu.pk/,"University of Engineering & Information Technology
Abu Dhabi Road, Rahim Yar Khan"
Medical Sciences,Radiology,Shifa Tameer-e-millat University,Islamabad,"B.Sc. , 4 Years",14000, 92 51 846 4210,info@stmu.edu.pk,https://stmu.edu.pk/admissions/online-admissions/,"Shifa Tameer-e-Millat University
Pitras Bukhari Road, H-8/4
Islamabad-44000, Pakistan"
Medical Sciences,Radiology,Sohail University,Karachi,"BS , 4 Years",0,92-21-34931886-9,baqarnawab@hotmail.com,"https://www.hec.gov.pk/english/universities/Pages/Sindh/Sohail-University,-Karachi.aspx","Sohail University,
22-23 Shaheed-e-Millat Road, Karachi-Sindh
Pakistan"
Medical Sciences,Radiology,Abasyn University,Peshawar,"BS , 4 Years",56100,+92 091 2582996,registrar@abasyn.edu.pk,http://peshawar.abasyn.edu.pk/Home/,"ing Road (Charsadda Link), Peshawar."
Medical Sciences,Radiology,Sarhad University Of Science & Information Technology,Peshawar,"BS , 4 Years",128113,92-91-5230931,not mentioned,https://www.suit.edu.pk/#/,"Landi Akhun Ahmad, Hayatabad Link. Ring Road, Peshawar, Pakistan"
Medical Sciences,Radiology,Nims College Of Medical Imaging Sciences,Abbottabad,"BS , 4 Years",0,0333 5594842,nimscnahs@gmail.com,https://www.facebook.com/nursingallied/,"Link Murre Road, Nawan Shehr, Abbottabad, Abbottabad, Pakistan"
Medical Sciences,Radiology,"Riphah Community College, Abbotabad Campus",Abbottabad,"AD , 2 Years",0,992384986,info@riphah.edu.pk,https://www.facebook.com/RIC0992/,"RIPHAH International College Abbottabad Campus, Near valley CNG Gujar Maira, Damthore murree road abbottabad, Abbottabad, Pakistan"
Medical Sciences,Radiology,Khyber Institute Of Medical Sciences,Charsadda,"BS , 4 Years",0,3333737073,kimscharsadda@gmail.com,https://www.kimschd.edu.pk/,"Charsadda Motorway Interchange Adjacent to NOVA City Near Haidery II CNG Main Nowshera Road Charsadda, Pakistan. Pakistan"
